nodes,items,rayleigh,modal_share,nfeatures,x_dim
6,433,-6.591949208711867e-17,0.9237875288683602,128,6
5,106,-5.898059818321144e-17,0.8867924528301887,128,5
6,62,-4.9439619065339e-17,0.5806451612903226,128,6
4,55,6.938893903907228e-18,0.9454545454545454,128,4
4,51,-4.423544863740858e-17,0.6862745098039216,128,4
3,49,-3.903127820947816e-17,0.9387755102040817,128,3
9,43,-3.469446951953614e-18,0.6744186046511628,128,9
4,37,1.9081958235744878e-17,1.0,128,4
4,19,-4.9439619065339e-17,0.9473684210526315,128,4
3,16,-2.6020852139652106e-18,1.0,128,3
4,14,-8.673617379884035e-19,0.9285714285714286,128,4
6,14,-4.0766001685454967e-17,1.0,128,6
5,12,-3.642919299551295e-17,0.9166666666666666,128,5
4,12,1.0408340855860843e-17,1.0,128,4
5,11,-2.2551405187698492e-17,0.5454545454545454,128,5
5,11,3.469446951953614e-18,1.0,128,5
3,9,-3.209238430557093e-17,0.7777777777777778,128,3
2,7,2.42861286636753e-17,0.7142857142857143,128,2
2,7,1.9949319973733282e-17,1.0,128,2
3,5,-1.6479873021779667e-17,0.8,128,3
3,5,5.204170427930421e-18,0.8,128,3
3,5,1.8214596497756474e-17,1.0,128,3
3,3,-5.204170427930421e-18,0.6666666666666666,128,3
2,3,-2.2551405187698492e-17,1.0,128,2
