n,purity,coherence,meanlam,dominant,alpha,threshold,n_boundary_in_minima
20,0.25,0.1015422498500028,0.012234305881218604,anatomy,0.0,0.020970063172816435,0
20,0.3,0.10915348091568634,0.016590984981372695,anatomy,0.05,0.04283148944938424,2
20,0.35,0.10130699438953687,0.01937087070620503,anatomy,0.1,0.05785567575391451,2
20,0.35,0.09207671902497859,0.022219204536867893,anatomy,0.15,0.06971785490173672,2
20,0.35,0.10225562966320816,0.0253903355376772,anatomy,0.2,0.07988787594603132,2
20,0.35,0.10225562966320816,0.0253903355376772,anatomy,0.25,0.0910104277576873,2
20,0.45,0.10783948911350306,0.03392468362126998,anatomy,0.3,0.09938666131405419,2
20,0.4,0.1148083864672613,0.03473683113271332,anatomy,0.35,0.11379804790161567,2
20,0.4,0.10792282070527921,0.04069773615643375,anatomy,0.4,0.1266192196647047,2
20,0.35,0.10599267644937942,0.04700899352198239,anatomy,0.45,0.12761247120962388,2
20,0.35,0.10599267644937942,0.04700899352198239,anatomy,0.5,0.12733640919454087,2
20,0.35,0.09914761415049239,0.054964494741577344,anatomy,0.55,0.13228096045514362,2
20,0.35,0.09914761415049239,0.054964494741577344,anatomy,0.6,0.14280888286098314,2
20,0.4,0.09878019503458842,0.0659666469016162,anatomy,0.65,0.1526447347357213,2
20,0.4,0.09708794103609233,0.06993675508287367,anatomy,0.7,0.15991327198955496,2
20,0.4,0.09708794103609233,0.06993675508287367,anatomy,0.75,0.16622543120979782,2
20,0.4,0.09708794103609233,0.06993675508287367,anatomy,0.8,0.17551919389927498,2
20,0.4,0.09708794103609233,0.06993675508287367,anatomy,0.85,0.1848129565887521,2
20,0.4,0.09638526330179481,0.07319494612609147,anatomy,0.9,0.1915696652989033,2
20,0.4,0.09638526330179481,0.07319494612609147,anatomy,0.95,0.1971022682748425,2
20,0.4,0.09638526330179481,0.07319494612609147,anatomy,1.0,0.2041706562646103,2
