idx,label,sentence,pca1,pca2,sbh_norm,lambda,score_aug_0.35,is_bh_minima,is_aug_minima
0,astronomy,The telescope tracked a faint comet across the winter sky.,-0.43321405691560627,0.18254386702747696,0.5446611773995128,0.014137122973689005,0.19982054202272734,False,False
1,astronomy,Astronomers estimated the planet's orbit from repeated measurements.,-0.28001152453440126,0.13869486567925943,0.41148774774759034,0.0025395127638494224,0.14567139500815873,False,False
2,astronomy,A nebula glowed behind the dense field of stars.,-0.28303124095971516,0.22907833898217939,0.7127162676079715,0.0460511908692788,0.2793839677278212,False,False
3,astronomy,The satellite adjusted its path after the eclipse window closed.,-0.1994748394445616,0.05044675944954322,0.815775397937257,0.07824343927221677,0.33637962480498085,False,False
4,astronomy,Researchers measured parallax to estimate the star's distance.,-0.31427553840411343,0.11146782981548992,0.25683108349064876,0.10380421357747692,0.15736361804708707,False,False
5,astronomy,The observatory logged a burst of radiation from a pulsar.,-0.33243076381436465,0.16094099984513652,0.26370458243937944,0.16749119688578223,0.20116588182954126,False,False
6,astronomy,A meteor shower peaked just before dawn over the valley.,-0.41682421682311355,0.27015897712366166,0.8072268765136091,0.3229960334037477,0.4924768284921992,False,False
7,astronomy,The spacecraft photographed a cratered moon near the gas giant.,-0.3338299150266337,0.18240443106736326,0.34807142764610205,0.5693083689569699,0.49187543949816614,False,False
8,astronomy,Gravity bent the path of light around the massive object.,-0.24098076138683633,0.11436200938064425,0.6197429788292956,0.14458992731545653,0.3108934953453002,False,False
9,astronomy,The quasar appeared bright even at extreme distance.,-0.3271218223357269,0.267395035762595,0.770769352832542,0.010253808556142116,0.27643424905288205,False,False
10,astronomy,The constellation was visible above the horizon after sunset.,-0.40500973073506646,0.2277779794408974,0.6061320639909489,0.21054553245090843,0.3490008184899226,False,False
11,astronomy,The probe transmitted data from the edge of the magnetosphere.,-0.3359751345393168,0.12418574511270879,0.19603567627378174,0.01243989002024657,0.07669841520898388,True,True
12,programming,The compiler rejected the function because the types did not match.,0.13545667455040802,-0.10964283473534717,0.1876608980382115,0.10125452705541899,0.13149675689939638,True,False
13,programming,She refactored the module to reduce duplicated logic.,0.2720439225608264,-0.08604060959925547,0.6366577422656317,0.013699991585428235,0.2317352043234994,False,False
14,programming,A race condition appeared when two threads touched the same state.,0.1884145242586379,-0.08933063800056357,0.27590833364455286,0.015389868812821268,0.10657133150392732,False,False
15,programming,The debugger stopped at the line that mutated the array.,0.130487388978659,-0.16351203698916514,0.4170333426883756,0.39514754058301166,0.40280757131988904,False,False
16,programming,The runtime cached the result to avoid repeated computation.,0.17726069878341563,-0.10962895308659103,0.2872036094851411,0.1324024819163028,0.1865828765653962,False,False
17,programming,A recursive function walked the tree until it found a leaf.,0.017449810154774672,0.04241423491852822,0.5062932172618791,0.004539074690065296,0.18015302459020013,False,False
18,programming,The engineer pushed a patch after the failing test reproduced locally.,-0.004775732341286899,-0.1842909131972771,0.3722386842150404,0.3358225723234783,0.348568211485525,False,False
19,programming,The parser consumed tokens until it reached the closing brace.,0.2034442770195961,-0.14489923845206004,0.5275685869601651,0.3614312407389529,0.4195793119163771,False,False
20,programming,A pointer bug corrupted memory during the benchmark.,0.006375719935795208,-0.22935223143864955,0.6159594301182104,0.01996250092987858,0.22856142614579472,False,False
21,programming,The iterator yielded one record at a time from the stream.,0.028064725912345358,0.005359934476066303,0.28680998261214485,0.2544929129912877,0.26580388735858773,False,False
22,programming,The service exposed a clean API for the client application.,-0.025417648133437762,-0.05923409096274007,0.14197453186978734,0.0321717184116185,0.07060270312197758,True,True
23,programming,The deployment pipeline rolled back after the health check failed.,0.011545172888758996,-0.1684210729504986,0.23809157461078492,0.03410393053327021,0.10549960596040035,False,True
24,cooking,The chef simmered the broth until the flavours deepened.,0.33684537396710595,0.2037793488624042,0.5176416668097311,0.024910737355569902,0.19736656266452632,False,False
25,cooking,She whisked the sauce while the butter slowly melted.,0.28294153796343585,0.3849605609627072,0.9090042639837026,0.06960363989857565,0.36339385832837007,False,False
26,cooking,The dough rested before it went into the hot oven.,0.2388879935093373,0.27036378993685256,0.45618448782598553,0.02993627850845106,0.17912315176958812,False,False
27,cooking,A pinch of zest brightened the rich stew.,0.11798606532778923,0.17803272234518985,0.5629805606553343,0.3281887227307855,0.4103658660043776,False,False
28,cooking,They braised the vegetables until they turned soft and glossy.,0.21194595391104884,0.17321075148019485,0.21269424465718353,0.007507390981814913,0.07932278976819393,False,True
29,cooking,The pan was hot enough to sear the meat quickly.,0.22594896737411665,0.2657453294215673,0.456230251497327,0.013484715629409196,0.16844565318318042,False,False
30,cooking,He julienned the carrots into thin even strips.,0.24138731257273485,0.2234797603558077,0.3044286371260693,0.1175990339913583,0.18298939508850715,False,False
31,cooking,The cook deglazed the skillet with white wine.,0.27360492223013694,0.2622167892548852,0.44889684292260357,0.47192631307747884,0.4638659985232725,False,False
32,cooking,Fresh herbs lifted the aroma of the roasted dish.,0.16455909379861042,0.2710819879261357,0.6708558612990532,0.014991151617415953,0.24454380000598896,False,False
33,cooking,The pastry needed another minute before the crust browned.,0.21428094154519053,0.37150949635993624,0.8696688802018021,0.047409613110211586,0.33520035659226827,False,False
34,cooking,She kneaded the dough until it felt smooth and elastic.,0.2853152971823239,0.2870604388550425,0.5728708939606548,0.025032594920297108,0.21677599958442229,False,False
