Phase,alpha,Purity,MeanLambda
PCA-Cosine,0.0,0.5,0.0
PCA-Cosine,0.1,0.5,0.0
PCA-Cosine,0.2,0.5,0.0
PCA-Cosine,0.3,0.5833333333333334,0.0
PCA-Cosine,0.4,0.75,0.0
PCA-Cosine,0.5,0.8333333333333334,0.0
PCA-Cosine,0.6,1.0,0.0
PCA-Cosine,0.7,1.0,0.0
PCA-Cosine,0.8,1.0,0.0
PCA-Cosine,0.9,1.0,0.0
PCA-Cosine,1.0,1.0,0.0
KDE,0.0,0.5,0.0
KDE,0.1,0.5,0.0
KDE,0.2,0.5,0.0
KDE,0.3,0.5,0.0
KDE,0.4,0.5833333333333334,0.0
KDE,0.5,0.75,0.0
KDE,0.6,0.8333333333333334,0.0
KDE,0.7,0.9166666666666666,0.0
KDE,0.8,0.9166666666666666,0.0
KDE,0.9,0.9166666666666666,0.0
KDE,1.0,0.9166666666666666,0.0
DiffMaps,0.0,0.5,0.0
DiffMaps,0.1,0.4166666666666667,0.0
DiffMaps,0.2,0.5,0.0
DiffMaps,0.3,0.5833333333333334,0.0
DiffMaps,0.4,0.8333333333333334,0.0
DiffMaps,0.5,1.0,0.0
DiffMaps,0.6,0.9166666666666666,0.0
DiffMaps,0.7,0.9166666666666666,0.0
DiffMaps,0.8,0.9166666666666666,0.0
DiffMaps,0.9,0.9166666666666666,0.0
DiffMaps,1.0,0.9166666666666666,0.0
