Subspace,Layer,Role,Role family,Field,S_A,S_B,delta_S,abs_delta_S
L2 · W_v,2,W_v,attn,COLOUR,-0.0399,0.0203,0.0602,0.0602
L2 · W_v,2,W_v,attn,TOOL,0.0232,-0.0303,-0.0535,0.0535
L0 · W_ffn1,0,W_ffn1,ffn_primal,COLOUR,0.0042,0.0498,0.0456,0.0456
L0 · W_v,0,W_v,attn,COLOUR,-0.0318,0.011,0.0427,0.0427
L4 · W_v,4,W_v,attn,TOOL,0.0098,-0.0318,-0.0416,0.0416
L4 · W_k,4,W_k,attn,TOOL,0.0189,-0.0222,-0.0411,0.0411
L5 · W_v,5,W_v,attn,COLOUR,0.0077,-0.0318,-0.0394,0.0394
L4 · W_q,4,W_q,attn,COLOUR,0.003,0.0411,0.0381,0.0381
L0 · W_ffn1,0,W_ffn1,ffn_primal,TOOL,0.0022,-0.0359,-0.038,0.038
L4 · W_q,4,W_q,attn,TOOL,0.0205,-0.0161,-0.0365,0.0365
L1 · W_v,1,W_v,attn,TOOL,0.0204,-0.0161,-0.0365,0.0365
L5 · W_v,5,W_v,attn,TOOL,-0.0031,0.0334,0.0364,0.0364
L3 · W_v,3,W_v,attn,COLOUR,-0.0185,0.0173,0.0359,0.0359
L0 · W_ffn2_read,0,W_ffn2_read,ffn_dual,SCIENCE,0.0111,-0.0246,-0.0357,0.0357
L1 · W_q,1,W_q,attn,COLOUR,-0.0199,0.0146,0.0345,0.0345
L3 · W_k,3,W_k,attn,TOOL,0.0058,-0.0285,-0.0343,0.0343
L4 · W_v,4,W_v,attn,COLOUR,-0.0092,0.0243,0.0336,0.0336
L0 · W_ffn1,0,W_ffn1,ffn_primal,SCIENCE,0.0121,-0.0197,-0.0318,0.0318
L2 · W_o,2,W_o,attn,COLOUR,-0.0022,0.0282,0.0303,0.0303
L0 · W_ffn2_read,0,W_ffn2_read,ffn_dual,TOOL,-0.0037,0.0261,0.0297,0.0297
L3 · W_v,3,W_v,attn,TOOL,0.0114,-0.0179,-0.0293,0.0293
L4 · W_k,4,W_k,attn,FOOD,-0.0302,-0.001,0.0292,0.0292
L2 · W_k,2,W_k,attn,TOOL,0.0106,-0.0183,-0.0289,0.0289
L2 · W_ffn2_read,2,W_ffn2_read,ffn_dual,FOOD,-0.0055,0.0232,0.0287,0.0287
L2 · W_k,2,W_k,attn,FOOD,-0.0196,0.0082,0.0278,0.0278
L4 · W_k,4,W_k,attn,COLOUR,0.0054,0.033,0.0277,0.0277
L2 · W_q,2,W_q,attn,TOOL,0.0074,-0.0202,-0.0275,0.0275
L3 · W_k,3,W_k,attn,COLOUR,-0.0109,0.0159,0.0269,0.0269
L0 · W_q,0,W_q,attn,COLOUR,-0.0116,0.0147,0.0264,0.0264
L0 · W_q,0,W_q,attn,TOOL,0.0168,-0.0089,-0.0257,0.0257
L2 · W_q,2,W_q,attn,FOOD,-0.0102,0.0151,0.0253,0.0253
L1 · W_ffn2_read,1,W_ffn2_read,ffn_dual,FOOD,-0.0072,0.0179,0.0251,0.0251
L0 · W_k,0,W_k,attn,TOOL,-0.0201,0.0049,0.0249,0.0249
L1 · W_ffn1,1,W_ffn1,ffn_primal,TOOL,0.0091,-0.0158,-0.0248,0.0248
L5 · W_ffn2_read,5,W_ffn2_read,ffn_dual,FOOD,0.0106,-0.0133,-0.0239,0.0239
L0 · W_k,0,W_k,attn,COLOUR,-0.0099,-0.0334,-0.0235,0.0235
L2 · W_ffn2_read,2,W_ffn2_read,ffn_dual,SCIENCE,0.0055,-0.0179,-0.0234,0.0234
L0 · W_ffn1,0,W_ffn1,ffn_primal,FOOD,-0.0187,0.0037,0.0224,0.0224
L1 · W_q,1,W_q,attn,SCIENCE,0.0054,-0.0166,-0.022,0.022
L5 · W_ffn1,5,W_ffn1,ffn_primal,SCIENCE,0.0074,0.0286,0.0212,0.0212
L3 · W_q,3,W_q,attn,TOOL,0.0086,-0.012,-0.0206,0.0206
L2 · W_ffn1,2,W_ffn1,ffn_primal,TOOL,0.0064,-0.0143,-0.0206,0.0206
L2 · W_o,2,W_o,attn,TOOL,0.0117,-0.0087,-0.0204,0.0204
L0 · W_ffn2_read,0,W_ffn2_read,ffn_dual,FOOD,0.0083,0.0287,0.0204,0.0204
L4 · W_v,4,W_v,attn,FOOD,-0.0147,0.0056,0.0203,0.0203
L0 · W_v,0,W_v,attn,FOOD,0.0188,-0.0011,-0.0199,0.0199
L3 · W_k,3,W_k,attn,FOOD,-0.0063,0.0132,0.0195,0.0195
L3 · W_q,3,W_q,attn,COLOUR,-0.0031,0.0164,0.0195,0.0195
L1 · W_v,1,W_v,attn,COLOUR,-0.011,0.0081,0.0191,0.0191
L4 · W_q,4,W_q,attn,SCIENCE,-0.002,-0.0205,-0.0185,0.0185
L1 · W_q,1,W_q,attn,TOOL,0.0125,-0.006,-0.0185,0.0185
L2 · W_q,2,W_q,attn,COLOUR,-0.0092,0.0079,0.0171,0.0171
L1 · W_ffn1,1,W_ffn1,ffn_primal,FOOD,-0.0154,0.0012,0.0166,0.0166
L4 · W_o,4,W_o,attn,FOOD,-0.0238,-0.0075,0.0163,0.0163
L4 · W_q,4,W_q,attn,FOOD,-0.0219,-0.0057,0.0162,0.0162
L4 · W_ffn2_read,4,W_ffn2_read,ffn_dual,COLOUR,0.0001,0.0161,0.016,0.016
L4 · W_k,4,W_k,attn,SCIENCE,0.0053,-0.0106,-0.0159,0.0159
L0 · W_q,0,W_q,attn,SCIENCE,0.0087,-0.0071,-0.0158,0.0158
L1 · W_k,1,W_k,attn,TOOL,0.003,-0.0127,-0.0157,0.0157
L0 · W_ffn2_read,0,W_ffn2_read,ffn_dual,COLOUR,-0.016,-0.0317,-0.0157,0.0157
L0 · W_q,0,W_q,attn,FOOD,-0.0142,0.0011,0.0154,0.0154
L1 · W_v,1,W_v,attn,FOOD,-0.0123,0.003,0.0154,0.0154
L5 · W_ffn2_read,5,W_ffn2_read,ffn_dual,SCIENCE,0.0104,0.0257,0.0153,0.0153
L5 · W_k,5,W_k,attn,COLOUR,-0.0069,0.0082,0.0151,0.0151
L2 · W_q,2,W_q,attn,SCIENCE,0.0118,-0.0032,-0.015,0.015
L2 · W_ffn1,2,W_ffn1,ffn_primal,COLOUR,0.0009,0.0158,0.0148,0.0148
L1 · W_k,1,W_k,attn,COLOUR,-0.0155,-0.001,0.0146,0.0146
L3 · W_ffn2_read,3,W_ffn2_read,ffn_dual,TOOL,0.0105,-0.0035,-0.014,0.014
L5 · W_k,5,W_k,attn,FOOD,0.0048,-0.0089,-0.0136,0.0136
L1 · W_ffn2_read,1,W_ffn2_read,ffn_dual,SCIENCE,0.0069,-0.0066,-0.0135,0.0135
L4 · W_v,4,W_v,attn,SCIENCE,0.0138,0.001,-0.0128,0.0128
L3 · W_k,3,W_k,attn,SCIENCE,0.0113,-0.0012,-0.0125,0.0125
L0 · W_v,0,W_v,attn,TOOL,-0.0108,-0.0233,-0.0124,0.0124
L5 · W_ffn1,5,W_ffn1,ffn_primal,COLOUR,-0.0036,-0.0155,-0.0119,0.0119
L3 · W_ffn2_read,3,W_ffn2_read,ffn_dual,COLOUR,-0.0094,0.0025,0.0119,0.0119
L5 · W_q,5,W_q,attn,TOOL,0.0041,-0.0077,-0.0118,0.0118
L3 · W_ffn2_read,3,W_ffn2_read,ffn_dual,FOOD,-0.0086,0.0032,0.0118,0.0118
L2 · W_k,2,W_k,attn,COLOUR,0.0035,0.0152,0.0117,0.0117
L4 · W_ffn2_read,4,W_ffn2_read,ffn_dual,TOOL,-0.0,-0.0112,-0.0112,0.0112
L1 · W_ffn1,1,W_ffn1,ffn_primal,COLOUR,0.0002,0.0114,0.0112,0.0112
L1 · W_o,1,W_o,attn,COLOUR,0.0009,-0.0103,-0.0112,0.0112
L3 · W_ffn1,3,W_ffn1,ffn_primal,FOOD,-0.0166,-0.0055,0.0111,0.0111
L5 · W_k,5,W_k,attn,TOOL,-0.0084,-0.0194,-0.0111,0.0111
L2 · W_k,2,W_k,attn,SCIENCE,0.0052,-0.0055,-0.0107,0.0107
L5 · W_q,5,W_q,attn,SCIENCE,-0.003,0.0076,0.0106,0.0106
L4 · W_o,4,W_o,attn,SCIENCE,0.0003,-0.0103,-0.0106,0.0106
L0 · W_v,0,W_v,attn,SCIENCE,0.0228,0.013,-0.0098,0.0098
L3 · W_ffn2_read,3,W_ffn2_read,ffn_dual,SCIENCE,0.0074,-0.0023,-0.0097,0.0097
L5 · W_ffn1,5,W_ffn1,ffn_primal,FOOD,-0.0096,-0.019,-0.0095,0.0095
L3 · W_v,3,W_v,attn,SCIENCE,0.0112,0.0017,-0.0094,0.0094
L5 · W_k,5,W_k,attn,SCIENCE,0.0103,0.0196,0.0093,0.0093
L4 · W_o,4,W_o,attn,TOOL,0.0138,0.0047,-0.009,0.009
L3 · W_ffn1,3,W_ffn1,ffn_primal,TOOL,-0.0012,-0.0099,-0.0087,0.0087
L1 · W_ffn2_read,1,W_ffn2_read,ffn_dual,COLOUR,-0.0066,-0.0147,-0.0081,0.0081
L5 · W_o,5,W_o,attn,COLOUR,0.0011,-0.0062,-0.0073,0.0073
L0 · W_k,0,W_k,attn,SCIENCE,0.0192,0.012,-0.0072,0.0072
L5 · W_o,5,W_o,attn,SCIENCE,-0.0024,0.0045,0.007,0.007
L1 · W_o,1,W_o,attn,FOOD,-0.0039,0.003,0.0069,0.0069
L3 · W_ffn1,3,W_ffn1,ffn_primal,SCIENCE,0.0116,0.005,-0.0066,0.0066
L1 · W_q,1,W_q,attn,FOOD,0.0017,0.0077,0.006,0.006
L2 · W_o,2,W_o,attn,FOOD,0.0055,-0.0005,-0.006,0.006
L0 · W_o,0,W_o,attn,COLOUR,-0.0092,-0.0033,0.0059,0.0059
L0 · W_k,0,W_k,attn,FOOD,0.0102,0.0158,0.0055,0.0055
L0 · W_o,0,W_o,attn,TOOL,0.0103,0.0052,-0.005,0.005
L2 · W_ffn2_read,2,W_ffn2_read,ffn_dual,TOOL,0.0162,0.0117,-0.0045,0.0045
L2 · W_o,2,W_o,attn,SCIENCE,-0.0153,-0.0196,-0.0043,0.0043
L5 · W_ffn2_read,5,W_ffn2_read,ffn_dual,TOOL,-0.0121,-0.0079,0.0042,0.0042
L3 · W_ffn1,3,W_ffn1,ffn_primal,COLOUR,0.006,0.0102,0.0042,0.0042
L5 · W_ffn2_read,5,W_ffn2_read,ffn_dual,COLOUR,-0.0092,-0.005,0.0041,0.0041
L3 · W_o,3,W_o,attn,COLOUR,-0.0073,-0.0032,0.0041,0.0041
L3 · W_o,3,W_o,attn,FOOD,-0.0143,-0.0181,-0.0038,0.0038
L2 · W_v,2,W_v,attn,SCIENCE,0.0174,0.0136,-0.0038,0.0038
L3 · W_o,3,W_o,attn,TOOL,0.0136,0.0098,-0.0038,0.0038
L1 · W_ffn2_read,1,W_ffn2_read,ffn_dual,TOOL,0.0068,0.0031,-0.0037,0.0037
L3 · W_q,3,W_q,attn,FOOD,-0.0082,-0.0045,0.0037,0.0037
L4 · W_o,4,W_o,attn,COLOUR,0.0094,0.0129,0.0036,0.0036
L3 · W_o,3,W_o,attn,SCIENCE,0.0078,0.0113,0.0035,0.0035
L4 · W_ffn1,4,W_ffn1,ffn_primal,COLOUR,0.0016,-0.0018,-0.0034,0.0034
L2 · W_ffn1,2,W_ffn1,ffn_primal,SCIENCE,0.0023,0.0053,0.003,0.003
L1 · W_ffn1,1,W_ffn1,ffn_primal,SCIENCE,0.006,0.003,-0.003,0.003
L3 · W_v,3,W_v,attn,FOOD,-0.0044,-0.0015,0.0029,0.0029
L4 · W_ffn2_read,4,W_ffn2_read,ffn_dual,SCIENCE,0.006,0.0032,-0.0028,0.0028
L0 · W_o,0,W_o,attn,SCIENCE,0.0062,0.0034,-0.0028,0.0028
L3 · W_q,3,W_q,attn,SCIENCE,0.0026,-0.0001,-0.0027,0.0027
L1 · W_o,1,W_o,attn,SCIENCE,0.002,0.0046,0.0026,0.0026
L2 · W_ffn1,2,W_ffn1,ffn_primal,FOOD,-0.0096,-0.0071,0.0026,0.0026
L2 · W_v,2,W_v,attn,FOOD,-0.0018,-0.0043,-0.0025,0.0025
L5 · W_q,5,W_q,attn,COLOUR,0.0072,0.0096,0.0024,0.0024
L4 · W_ffn2_read,4,W_ffn2_read,ffn_dual,FOOD,-0.0061,-0.0084,-0.0023,0.0023
L1 · W_v,1,W_v,attn,SCIENCE,0.0025,0.0048,0.0022,0.0022
L4 · W_ffn1,4,W_ffn1,ffn_primal,FOOD,-0.0014,0.0007,0.002,0.002
L0 · W_o,0,W_o,attn,FOOD,-0.0074,-0.0053,0.002,0.002
