Subspace,Dominant Field,Contrast S,Top Words
L0 · W_q,ABSTRACT,0.0205,"time, dream, order"
L0 · W_k,EMOTION,0.027,"pain, wonder, doubt"
L0 · W_v,ACTION,0.0114,"pull, swim, fall"
L0 · W_o,ACTION,0.0194,"run, twist, punch"
L0 · W_ffn1,COLOUR,0.0345,"blue, black, brown"
L0 · W_ffn2,ABSTRACT,0.0326,"time, void, evil"
L1 · W_q,ABSTRACT,0.0242,"time, mind, dream"
L1 · W_k,ABSTRACT,0.0199,"dream, order, time"
L1 · W_v,ACTION,0.0082,"drag, run, pull"
L1 · W_o,FOOD,0.0098,"salad, coffee, sushi"
L1 · W_ffn1,ABSTRACT,0.0164,"space, dream, time"
L1 · W_ffn2,ABSTRACT,0.0196,"time, order, power"
L2 · W_q,ABSTRACT,0.0264,"order, dream, time"
L2 · W_k,ABSTRACT,0.016,"dream, order, justice"
L2 · W_v,COLOUR,0.0155,"black, purple, white"
L2 · W_o,COLOUR,0.0226,"magenta, beige, grey"
L2 · W_ffn1,ABSTRACT,0.0165,"logic, dream, order"
L2 · W_ffn2,ABSTRACT,0.0356,"time, evil, void"
L3 · W_q,ABSTRACT,0.0237,"dream, order, number"
L3 · W_k,ABSTRACT,0.0168,"dream, order, void"
L3 · W_v,COLOUR,0.0156,"indigo, gold, black"
L3 · W_o,PLACE,0.0143,"city, town, delta"
L3 · W_ffn1,PLACE,0.0129,"city, town, glacier"
L3 · W_ffn2,ABSTRACT,0.0213,"logic, evil, time"
L4 · W_q,COLOUR,0.0326,"blue, gold, white"
L4 · W_k,COLOUR,0.0241,"blue, green, gold"
L4 · W_v,COLOUR,0.0318,"beige, cyan, indigo"
L4 · W_o,ABSTRACT,0.017,"time, mind, memory"
L4 · W_ffn1,PLACE,0.0125,"city, cliff, canyon"
L4 · W_ffn2,COLOUR,0.016,"blue, pink, black"
L5 · W_q,COLOUR,0.0123,"cyan, black, teal"
L5 · W_k,SCIENCE,0.0174,"virus, laser, gene"
L5 · W_v,ACTION,0.0368,"climb, jump, slide"
L5 · W_o,TOOL,0.0086,"plier, lever, spring"
L5 · W_ffn1,SCIENCE,0.0294,"energy, atom, enzyme"
L5 · W_ffn2,SCIENCE,0.0227,"energy, entropy, atom"
