Subspace,Dominant Field,Contrast S,Top Words
L0 · W_q,TOOL,0.0168,"wheel, forge, knife"
L0 · W_k,SCIENCE,0.0192,"protein, energy, gene"
L0 · W_v,SCIENCE,0.0228,"photon, energy, protein"
L0 · W_o,TOOL,0.0103,"hook, hook, bolt"
L0 · W_ffn1,SCIENCE,0.0121,"circuit, enzyme, neutron"
L0 · W_ffn2_read,SCIENCE,0.0111,"enzyme, virus, neutron"
L1 · W_q,TOOL,0.0125,"wheel, forge, saw"
L1 · W_k,FOOD,0.0104,"beer, pizza, coffee"
L1 · W_v,TOOL,0.0204,"hook, hook, forge"
L1 · W_o,SCIENCE,0.002,"virus, mass, gene"
L1 · W_ffn1,TOOL,0.0091,"saw, forge, bolt"
L1 · W_ffn2_read,SCIENCE,0.0069,"virus, enzyme, gravity"
L2 · W_q,SCIENCE,0.0118,"enzyme, atom, atom"
L2 · W_k,TOOL,0.0106,"forge, joint, hammer"
L2 · W_v,TOOL,0.0232,"drill, drill, forge"
L2 · W_o,TOOL,0.0117,"gear, lever, joint"
L2 · W_ffn1,TOOL,0.0064,"joint, forge, saw"
L2 · W_ffn2_read,TOOL,0.0162,"drill, drill, vice"
L3 · W_q,TOOL,0.0086,"drill, drill, forge"
L3 · W_k,SCIENCE,0.0113,"electron, circuit, plasma"
L3 · W_v,TOOL,0.0114,"drill, drill, bolt"
L3 · W_o,TOOL,0.0136,"lever, blade, drill"
L3 · W_ffn1,SCIENCE,0.0116,"electron, neutron, laser"
L3 · W_ffn2_read,TOOL,0.0105,"knife, forge, drill"
L4 · W_q,TOOL,0.0205,"forge, drill, drill"
L4 · W_k,TOOL,0.0189,"hammer, knife, drill"
L4 · W_v,SCIENCE,0.0138,"circuit, plasma, magnet"
L4 · W_o,TOOL,0.0138,"blade, axle, axle"
L4 · W_ffn1,SCIENCE,0.0051,"neutron, atom, atom"
L4 · W_ffn2_read,SCIENCE,0.006,"neutron, atom, atom"
L5 · W_q,COLOUR,0.0072,"purple, orange, crimson"
L5 · W_k,SCIENCE,0.0103,"entropy, gene, protein"
L5 · W_v,COLOUR,0.0077,"green, white, black"
L5 · W_o,TOOL,0.0104,"bolt, saw, hammer"
L5 · W_ffn1,SCIENCE,0.0074,"circuit, photon, entropy"
L5 · W_ffn2_read,FOOD,0.0106,"tea, milk, rice"
