Subspace,Dominant Field,Contrast S,Top Words
L0 · W_q,COLOUR,0.0147,"gold, brown, grey"
L0 · W_k,FOOD,0.0158,"salad, cake, cream"
L0 · W_v,SCIENCE,0.013,"neutron, atom, atom"
L0 · W_o,TOOL,0.0052,"hook, hook, forge"
L0 · W_ffn1,COLOUR,0.0498,"blue, black, brown"
L0 · W_ffn2_read,FOOD,0.0287,"cake, pasta, cream"
L1 · W_q,COLOUR,0.0146,"gold, white, blue"
L1 · W_k,FOOD,0.0113,"cheese, salad, cake"
L1 · W_v,COLOUR,0.0081,"purple, indigo, black"
L1 · W_o,SCIENCE,0.0046,"entropy, mass, photon"
L1 · W_ffn1,COLOUR,0.0114,"silver, gold, white"
L1 · W_ffn2_read,FOOD,0.0179,"pasta, cheese, cake"
L2 · W_q,FOOD,0.0151,"chocolate, milk, butter"
L2 · W_k,COLOUR,0.0152,"blue, gold, purple"
L2 · W_v,COLOUR,0.0203,"black, purple, white"
L2 · W_o,COLOUR,0.0282,"beige, grey, grey"
L2 · W_ffn1,COLOUR,0.0158,"silver, white, indigo"
L2 · W_ffn2_read,FOOD,0.0232,"cake, pasta, cream"
L3 · W_q,COLOUR,0.0164,"white, grey, grey"
L3 · W_k,COLOUR,0.0159,"blue, pink, gold"
L3 · W_v,COLOUR,0.0173,"indigo, gold, black"
L3 · W_o,SCIENCE,0.0113,"plasma, proton, electron"
L3 · W_ffn1,COLOUR,0.0102,"silver, azure, gold"
L3 · W_ffn2_read,FOOD,0.0032,"pasta, bread, milk"
L4 · W_q,COLOUR,0.0411,"blue, gold, white"
L4 · W_k,COLOUR,0.033,"blue, green, gold"
L4 · W_v,COLOUR,0.0243,"beige, indigo, black"
L4 · W_o,COLOUR,0.0129,"green, violet, violet"
L4 · W_ffn1,SCIENCE,0.0062,"atom, atom, neutron"
L4 · W_ffn2_read,COLOUR,0.0161,"blue, pink, black"
L5 · W_q,COLOUR,0.0096,"black, indigo, silver"
L5 · W_k,SCIENCE,0.0196,"virus, laser, gene"
L5 · W_v,TOOL,0.0334,"lever, forge, wheel"
L5 · W_o,TOOL,0.0109,"lever, spring, hook"
L5 · W_ffn1,SCIENCE,0.0286,"energy, atom, atom"
L5 · W_ffn2_read,SCIENCE,0.0257,"energy, entropy, atom"
