Subspace,Layer,Role,RoleFamily,Dominant Field,Contrast S,Top Words
L0 · W_q,0,W_q,attn,COLOUR,0.0147,"gold, brown, grey"
L0 · W_k,0,W_k,attn,FOOD,0.0158,"salad, cake, cream"
L0 · W_v,0,W_v,attn,SCIENCE,0.013,"neutron, atom, atom"
L0 · W_o,0,W_o,attn,TOOL,0.0052,"hook, hook, forge"
L0 · W_ffn1,0,W_ffn1,ffn_primal,COLOUR,0.0498,"blue, black, brown"
L0 · W_ffn2_read,0,W_ffn2_read,ffn_dual,FOOD,0.0287,"cake, pasta, cream"
L1 · W_q,1,W_q,attn,COLOUR,0.0146,"gold, white, blue"
L1 · W_k,1,W_k,attn,FOOD,0.0113,"cheese, salad, cake"
L1 · W_v,1,W_v,attn,COLOUR,0.0081,"purple, indigo, black"
L1 · W_o,1,W_o,attn,SCIENCE,0.0046,"entropy, mass, photon"
L1 · W_ffn1,1,W_ffn1,ffn_primal,COLOUR,0.0114,"silver, gold, white"
L1 · W_ffn2_read,1,W_ffn2_read,ffn_dual,FOOD,0.0179,"pasta, cheese, cake"
L2 · W_q,2,W_q,attn,FOOD,0.0151,"chocolate, milk, butter"
L2 · W_k,2,W_k,attn,COLOUR,0.0152,"blue, gold, purple"
L2 · W_v,2,W_v,attn,COLOUR,0.0203,"black, purple, white"
L2 · W_o,2,W_o,attn,COLOUR,0.0282,"beige, grey, grey"
L2 · W_ffn1,2,W_ffn1,ffn_primal,COLOUR,0.0158,"silver, white, indigo"
L2 · W_ffn2_read,2,W_ffn2_read,ffn_dual,FOOD,0.0232,"cake, pasta, cream"
L3 · W_q,3,W_q,attn,COLOUR,0.0164,"white, grey, grey"
L3 · W_k,3,W_k,attn,COLOUR,0.0159,"blue, pink, gold"
L3 · W_v,3,W_v,attn,COLOUR,0.0173,"indigo, gold, black"
L3 · W_o,3,W_o,attn,SCIENCE,0.0113,"plasma, proton, electron"
L3 · W_ffn1,3,W_ffn1,ffn_primal,COLOUR,0.0102,"silver, azure, gold"
L3 · W_ffn2_read,3,W_ffn2_read,ffn_dual,FOOD,0.0032,"pasta, bread, milk"
L4 · W_q,4,W_q,attn,COLOUR,0.0411,"blue, gold, white"
L4 · W_k,4,W_k,attn,COLOUR,0.033,"blue, green, gold"
L4 · W_v,4,W_v,attn,COLOUR,0.0243,"beige, indigo, black"
L4 · W_o,4,W_o,attn,COLOUR,0.0129,"green, violet, violet"
L4 · W_ffn1,4,W_ffn1,ffn_primal,SCIENCE,0.0062,"atom, atom, neutron"
L4 · W_ffn2_read,4,W_ffn2_read,ffn_dual,COLOUR,0.0161,"blue, pink, black"
L5 · W_q,5,W_q,attn,COLOUR,0.0096,"black, indigo, silver"
L5 · W_k,5,W_k,attn,SCIENCE,0.0196,"virus, laser, gene"
L5 · W_v,5,W_v,attn,TOOL,0.0334,"lever, forge, wheel"
L5 · W_o,5,W_o,attn,TOOL,0.0109,"lever, spring, hook"
L5 · W_ffn1,5,W_ffn1,ffn_primal,SCIENCE,0.0286,"energy, atom, atom"
L5 · W_ffn2_read,5,W_ffn2_read,ffn_dual,SCIENCE,0.0257,"energy, entropy, atom"
